Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8,Group 9,Group 10,Group 11,Group 12,Group 13,Group 14,Group 15,Group 16,Group 17,Group 18,Group 19,Group 20,Group 21,Group 22,Group 23,Group 24,Group 25,Group 26,Group 27,Group 28,Group 29,Group 30
misanthropic,convoluted,contend,placid,panache,spurious,platitude,palpable,irascible,portend,pervasive ,opprobrium,metaphorical,reticent,pertinent,profligate,miserly,manacle,naive,providential,magnanimous,embellish,pretentious,quiescent,sparse,idiosyncratic,haughty,agitate,collude,gratuitous
misnomer,covet,copious ,polemical,plodding,subjective,prescient,perfidy,mercenary,provincial,preclude,parsimonious,mimic,stringent,propriety,reconcile,patent,modest,noble,prowess,meritorious ,inviolate,duress,mercurial,adverse,insolent,estimable,abstract,convinction,indecorous
negligent,craven,cosmopolitan,precipitate,prosaic,subvert,pristine,profuse,meticulous,rudimentary,predilection ,peripheral,numinous,subservient,scintillating,refine,petulant,noxious,parochial,schism,mutiny ,renege,vigilant,despotic,exhort,ardent,tangible,retiring,conflagration,soliloquy
obsequious,decorum,deference,profundity,remedial,timorous,reproach,pugnacious,mordant,salutary,rapacious,provocative,obscure,surreptitious,sensational,relinquish,pithy,pernicious,pedestrian,slander,paradoxical,arresting,headstrong,perpetrate,poise,doctrinaire,chary,quarantine,chagrin,stolid
placate,deft,desultory ,prophetic,restive,tortuous,robust,sagacious,outstrip,sever,relish,renounce,overt,tantalizing,sophisticated,ruminate,pliant,predicament,prevaricate,stalwart,perseverance,obstinate,convalescent,subsume,adept,officious,repugnant,distend,contretemps,capitulate
proclivity,demur,diffident,prudent,sporadic,tractable,salubrious,sanguine,precarious,slight,satirical,tempestuous,pellucid,tantamount,strife,skittish,sanctimonious,proficient,prime,supplicate,render,vivacious,nonplussed,subside,tedious,cease,xenophobic,ravage,commiserate,extemporize
puerile,derivative,dilatory ,punctilious,stigmatize,transient,sanction,scant,quirky,somnolent,sham,tenable,perpetuate,torpor,understated,superfluous,sound,prolix,radical,terse,repertoire,histrionic,fret,condone,rigor,lavish,squander,sophistry,zenith,cogitate
quixotic,desiccate,equivocate,recondite,undermine,ubiquitous,sedulous,skullduggery,repudiate,stoic,skirt,transgression,rational,trenchant,unscrupulous,synoptic ,tarnish,scorn,recrudescent,tirade,resilient,prodigious,decry,tangential,articulate,conducive,cajole,penchant,fulcrum,nominal
spendthrift,diatribe,polarize,scrupulous,utterly,underscore,soporific,trivial,tact,supersede,sluggish,urbane,scathing,umbrage,veracity,thorough,tepid,subordinate,temporal,universal,resolute,tentative,recourse,jeopardize,suspect,equanimity,unalloyed,gauche,expatiate,plucky
taciturn,incredulous,prodigal,tranquil,weary,venal,stern,utilitarian,trifling,tout,spartan,verisimilitude,subtle,versatile,virulent,visionary,upbraid,unseemly,transitory,vanquish,supple,falter,commence,disinterested,ploy,supplant,heady,deprecate ,jocund,grovel
wary,ingenuous,verbose,vacillate,zealous,venerate,tendentious,vapid,turbulent,wane,truculent,vitiate,superficial,wayward,volatile,vociferous,vexation,veritable,viable,woeful,valor,chastise,neutralize,buttress,captious,lampoon,exigent,affront,fraught,feint
